kod_stacji,nazwa_stacji,lon,lat,temperatura_gruntu,temperatura_gruntu_data,wiatr_kierunek,wiatr_kierunek_data,wiatr_srednia_predkosc,wiatr_srednia_predkosc_data,wiatr_predkosc_maksymalna,wiatr_predkosc_maksymalna_data,wilgotnosc_wzgledna,wilgotnosc_wzgledna_data,wiatr_poryw_10min,wiatr_poryw_10min_data,opad_10min,opad_10min_data
249200480,BUKOWINA TATRZAŃSKA,20.098333,49.3375,7.48,2025-01-28 17:50:00,256,2025-01-28 17:50:00,5.1,2025-01-28 17:50:00,8.1,2025-01-28 17:50:00,62.57,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
250210130,STASZÓW,21.185,50.595,9.04,2025-01-28 17:50:00,164,2025-01-28 17:50:00,5,2025-01-28 17:50:00,8.1,2025-01-28 17:50:00,68.3,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
250210160,MAJDAN KRÓLEWSKI,21.751944,50.366667,,,,,,,,,,,,,0,2025-01-28 17:50:00
250210210,MIELEC,21.432778,50.279444,,,,,,,,,,,,,0,2025-01-28 17:50:00
250210220,KOLBUSZOWA,21.745833,50.262222,11.27,2025-01-28 17:50:00,187,2025-01-28 17:50:00,5.8,2025-01-28 17:50:00,10,2025-01-28 17:50:00,55.99,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
249190530,PILSKO,19.318333,49.541111,0.08,2025-01-28 17:50:00,168,2025-01-28 17:50:00,3.6,2025-01-28 17:50:00,9,2025-01-28 17:50:00,89.32,2025-01-28 17:50:00,,,0,2025-01-12 09:20:00
249200120,ROZDZIELE,20.416111,49.785278,8.32,2025-01-28 17:50:00,164,2025-01-28 17:50:00,2.3,2025-01-28 17:50:00,6,2025-01-28 17:50:00,71.41,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
249200230,GRYBÓW,20.948056,49.619722,,,,,,,,,,,,,0,2025-01-28 17:50:00
250200360,DĄBROWA TARNOWSKA,20.991111,50.186111,,,,,,,,,,,,,0,2025-01-28 17:50:00
249180390,BRENNA-LEŚNICA,18.903056,49.71,,,,,,,,,,,,,0,2025-01-28 17:50:00
249180520,RUDZICA,18.880833,49.853889,,,,,,,,,,,,,0,2025-01-28 17:50:00
249200960,NOWY TARG-KOWANIEC,20.055,49.486389,,,,,,,,,,,,,0,2025-01-28 17:50:00
254220030,GOŁDAP,22.268611,54.308333,6,2025-01-28 17:50:00,144,2025-01-28 17:50:00,5,2025-01-28 17:50:00,8.4,2025-01-28 17:50:00,83.2,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
254220060,BANIE MAZURSKIE,22.023056,54.251667,,,,,,,,,,,,,0,2025-01-28 17:50:00
353200272,OLSZTYN,20.421389,53.768611,6,2025-01-28 17:50:00,141,2025-01-28 17:50:00,2.9,2025-01-28 17:50:00,5.5,2025-01-28 17:50:00,92,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
354210185,KĘTRZYN,21.366667,54.067222,6,2025-01-28 17:50:00,123,2025-01-28 17:50:00,4.3,2025-01-28 17:50:00,6.4,2025-01-28 17:50:00,85,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
254190050,FROMBORK,19.677222,54.360278,8.24,2025-01-28 17:50:00,124,2025-01-28 17:50:00,2,2025-01-28 17:50:00,4.8,2025-01-28 17:50:00,76.64,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
254190080,PIERZCHAŁY,19.849167,54.300556,,,,,,,,,,,,,0,2025-01-28 17:50:00
254190160,PASŁĘK,19.636111,54.068611,,,,,,,,,,,,,0,2025-01-28 17:50:00
254200040,BARTOSZYCE,20.797778,54.240278,,,,,,,,,,,,,,
254200050,BORNITY,20.050833,54.184444,,,,,,,,,,,,,0,2025-01-28 17:50:00
254200070,KASZUNY,20.339722,54.158333,,,,,,,,,,,,,0,2025-01-28 17:50:00
254210020,WĘGORZEWO,21.734722,54.223889,,,,,,,,,,,,,0,2025-01-28 17:50:00
254200080,LIDZBARK WARMIŃSKI,20.586111,54.135833,6.09,2025-01-28 17:50:00,144,2025-01-28 17:50:00,0,2025-01-28 17:50:00,0,2025-01-28 17:50:00,87.2,2025-01-28 17:50:00,,,0.1,2025-01-28 17:50:00
250160560,STRONIE ŚLĄSKIE,16.866111,50.3025,,,,,,,,,,,,,0.1,2025-01-28 17:50:00
249220340,WOŁOSATE,22.685833,49.064167,7.72,2025-01-28 17:50:00,140,2025-01-28 17:50:00,4.4,2025-01-28 17:50:00,8.4,2025-01-28 17:50:00,54.41,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
249220350,WYŻNIAŃSKI WIERCH,22.585833,49.121944,7.2,2025-01-28 17:50:00,111,2025-01-28 17:50:00,5.9,2025-01-28 17:50:00,12.3,2025-01-28 17:50:00,55.4,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
249220280,STUPOSIANY,22.683056,49.191667,10.3,2025-01-28 17:50:00,185,2025-01-28 17:50:00,4.6,2025-01-28 17:50:00,9.6,2025-01-28 17:50:00,47,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
249220320,POŁONINA WETLIŃSKA,22.551667,49.157778,5,2025-01-28 17:50:00,198,2025-01-28 17:50:00,16.9,2025-01-28 17:50:00,23.9,2025-01-28 17:50:00,66.4,2025-01-28 17:50:00,,,0.2,2025-01-05 07:50:00
249220190,SAKOWCZYK,22.4475,49.314722,,,,,,,,,,,,,0,2025-01-28 17:50:00
249220150,SOLINA-JAWOR,22.468333,49.4,11.61,2025-01-28 17:50:00,205,2025-01-28 17:50:00,3.7,2025-01-28 17:50:00,8.9,2025-01-28 17:50:00,46.19,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
249220170,BALIGRÓD-MCHAWA,22.283611,49.353889,10.81,2025-01-28 17:50:00,164,2025-01-28 17:50:00,5.3,2025-01-28 17:50:00,9.2,2025-01-28 17:50:00,48.42,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
249220180,KOMAŃCZA,22.063333,49.339167,9.6,2025-01-28 17:50:00,136,2025-01-28 17:50:00,1.8,2025-01-28 17:50:00,5.6,2025-01-28 17:50:00,53,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
249210270,WISŁOK WIELKI,21.999167,49.378611,,,,,,,,,,,,,0,2025-01-28 17:50:00
249220140,SZCZAWNE,22.146944,49.398889,,,,,,,,,,,,,0,2025-01-28 17:50:00
249220060,BIRCZA,22.481111,49.687222,12.11,2025-01-28 17:50:00,171,2025-01-28 17:50:00,4.5,2025-01-28 17:50:00,8.5,2025-01-28 17:50:00,45.21,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
249210210,PUŁAWY DOLNE,21.907222,49.49,,,,,,,,,,,,,0,2025-01-28 17:50:00
